x y
-43991.6 9221.38
43853.7 -77343.9
-5703.31 18508
88863.6 -9816.49
-32729.8 69536.9
-13097.3 -99353.7
-31011.4 19696.3
66648.7 -53221.7
35095.2 -3409.94
-3612.84 -39008.9
42417.5 -63488.8
24364.6 -91827.1
-17203.3 39196.8
34787.3 27528
-30576.8 -63075.5
21821.2 25431.6
46145.9 -34325.1
48087.7 -59557.4
84182.9 36951.3
30626.1 -48546.9
6488.19 -82471.3
-47900.6 75476.8
37225 -81252
-77744.9 -27679.8
15338.1 18642.3
33311.3 -42244.4
55153.4 -42324.1
-34071.6 -62049.8
96872.6 -99284.3
65478.2 -33704.2
-62359.8 -12700.6
91727.4 83786.1
52974.3 39815.1
-75771.4 37157.2
-23233.6 54854.7
88610.3 83254.6
72383.4 -59290.4
58731.4 9608.41
-40542.3 80986.5
81928.6 74795.8
-371.215 15239.9
-67448.7 -45217.8
72915.8 -1520.24
-7267.57 69788.4
-804.521 -41789.3
-63915.8 36835.7
45510.1 -72188.4
20621.8 -1515.66
67626.7 44850.4
-64358.5 -55606.9
-294.904 -75748.2
-72352.3 -27911.5
-35038.6 86379.1
81696.9 24419.1
67365.6 63625.5
-785.116 -33005.7
-21134.6 31766.2
21776.6 -48218.8
-69754 -85491
-78430.3 29441.5
-27280.3 -42346.1
-33722.8 -81770.3
-14534.5 86898.9
16714.1 -46907.7
31749.3 52355.6
-2514.63 -68545.6
76607.3 25133.1
3542.94 -58431.3
11512.1 -14760.1
65987.8 -21122.3
-51134.6 -34797.3
45872 27730.8
96968.9 -32351.4
79512.1 -72785.1
-17842.4 -98918.3
56656.4 54877.2
-41264.4 -77066.4
73107 44201.2
-90167.5 -10179
97293.4 41581.8
-57823.4 -5221.2
73036.2 -81216.1
-80088.1 -23420.8
-39647.4 31424
61819.1 -73659.6
-89698.3 -89315.5
-8456.88 56173.7
38415.3 -11488
-76177.7 17927.3
15727 5979.84
19009.1 -27616.6
-39142.9 77744.7
-4683.07 -66035.9
21945.8 5149.42
23785.1 19239.2
-53268.8 65961.7
-85982 -80232.5
84745.6 -66070.1
-3653.33 -54901.8
65353.9 -41834.3
-28561.4 75655.5
-31149.8 62981.7
31829.2 -92734.5
-48506.2 55651.5
25192.8 67220.7
-38368.7 -55798.1
-60395.9 22488.4
-78053.5 34921
56452.5 43892.4
-59929.5 -19762.5
-36868.4 -13198.3
-53800.8 -22850.4
6569.2 -69055.2
11079.5 -97084.1
-23957.1 -23566.6
-38918.4 47481.5
-47911 29931.8
10463.3 83918.2
37197.3 61957.1
39569.6 -37609.9
29177.8 -98799
6591.97 68781.9
23689.4 28538.5
3702.98 -19858.2
-27569.1 43773.4
60379.3 35562.5
-69424.8 -93421.5
-87287.9 37144.4
-62476.7 23791.7
40060.2 13566.2
-99774.9 -98858.2
-38952.2 -47685.9
31073.6 71511
-63767.8 -31729.1
33468.1 75801.9
30661 -37354.1
77002.8 -62747
-68572.2 692.197
65791.5 35130.8
80834 -61777.7
-21095.7 41213.3
73784.8 9479.42
47791.9 86496.9
-53376.2 85315.2
10288.6 86684
-1118.62 10513.7
87825.8 59929.1
62827.7 18899.5
31440.2 99060
87170.3 -35091.7
74861.9 17831.3
27554.2 51864.7
55084.3 58982
-47443.1 20875.8
-5887.16 -66609.1
59098.1 73017.1
74604.3 32882.9
-17503.5 22396.1
19379.8 29120.3
7711.3 -70331.6
15804.3 -93407.3
40182.1 3630.13
66521.8 3009.82
-77470.4 -2038
2069.81 -90300.1
62870.3 -23068.3
27531.3 -9575.52
-71203.6 -17384.4
-50593.5 -18646.7
-96508.7 43519.3
14744.2 62589.4
16536.5 -10651.5
-4527.72 99033
-88255.4 -85147.9
28153.3 19456
-55479.5 -56042.4
26048.6 84702.5
47587.7 -7429.55
-12287.6 70117.3
90532.5 89782.2
79817.2 53402.7
-33286.2 7348.5
-56172.8 -4489.75
89964.1 -6766.28
76863.6 93455.4
-63246.9 -8392.2
56044.8 53289.5
80956.3 -48482.9
52322.5 92701
-33630.8 -19524.2
12156.9 10889.6
24433.3 -61794.5
-4407.82 -27979
30776 83304.5
-57861.7 21308.4
73086.7 -78044.5
-25288.8 -60199.5
29304 18538.4
35310.8 19268.1
-88227.9 12174.4
12723.5 -51474.8
-96217.8 -31231.7
-98185.3 84738.5
20285.3 54137.2
77439.4 86654.5
-65387.1 -10403.7
-2455.86 59046.3
27801.8 93136.3
-68932.7 -41422.2
76440.9 -26794.4
79886.3 49527.6
-4838.87 -45402.6
89328.1 -75534.8
73135.8 24638.9
43733.3 84907.9
-63186.8 -43543.2
-66566.9 -59404.6
25225 -64752.2
-74666.2 -54489.6
89384.9 -97226.7
-67835.1 -76002.1
-7630.44 29709
83044.1 -79828.6
22845.3 -85888.6
-21250.8 -713.807
-12683 -41364.5
-51186.3 82478.1
13232.9 -61858.2
-93056.7 -13631.3
62780.7 50676.5
-28723.4 99594
-92866.7 4709.68
-59810.6 32358.3
39957.4 -34476.8
77868.7 29342.4
-31703.5 -89966.4
53340.2 60666
39742.6 36384.3
80837.4 -37412.1
50495.7 -40413.4
61874.1 -62187.3
18222.1 -89312.1
-79709.2 -68545
-51170.3 -72765.9
17823.7 -88389.5
77910.6 89100.3
-88795.6 85043.9
-6190 -48606.2
17402.2 -66232.6
16917 -4729.07
63109.8 85213.5
5304.51 16450
45879.5 -54952.9
-47165.6 26717
7635.06 -96669.9
86303.6 -30490.8
-58857.2 4525.73
-19802.9 -38566.3
35980.8 29026.8
-11332.2 -46195.5
40637.2 -33421.6
-57095.2 51841.7
-48377.7 36714.8
-96764.5 69024.6
70482.2 20152.5
-35704.5 33592
5366.04 69600
-49957.9 -48754.4
-85352.9 2876.44
77962.5 22282.2
6206.55 64266.2
91791.4 47349.4
-31208.1 -28011.6
-91216.9 -95227.4
-98984.8 -2549.17
-41422.9 41652.5
64029.2 1481.91
-6505.83 -84348.4
-61803.3 -3270.33
84676.2 -91321.1
-83117.8 -51028.3
42271 22248.2
-81428.3 92313
73493.8 -66781.2
-4810.53 51456.4
55501 -98604
15722.5 47292.4
48745.4 84514.4
-80719.2 57528.5
89287 -79703.9
-45020.7 -52135.8
61948.6 -80991.5
49346.1 -44557.3
-65339.9 87542.8
52172.4 -80663.7
96221.7 69054.6
-31692.1 38492.7
-8697.16 -13120.4
30805.7 -35203.4
20098.4 -74004.8
-83747 -24400.6
-72608.8 31975.5
-77108.2 76136.6
16489.9 -57827.4
33665.1 5776.97
-37531.3 88644.4
53641.1 -75582.8
-92347 2987.19
-20140 -57686.9
-9470.03 -67967.6
-38350.6 -13248.3
-98913 29957.3
-74755.6 -7610.19
-83163.1 56050.1
57186.5 36935.4
82045.3 73439.5
-87465.2 -90563.5
5414.99 -64573.4
85573.2 -78095.1
-22400.8 19238.3
27681.9 40067.9
7882.68 -18677
64485.2 15535.7
84310.2 -55654.8
57848.7 -25159.8
-23622.5 -80501.9
61591.9 -22535.5
49455.4 86836.2
69854.3 66292.4
42886.3 27040.8
3227.71 24931.6
480.253 15762.5
34368.2 -94104.8
51189.1 19941.3
-72199.8 -71211.7
-60820.4 55482
68856.2 47062.3
-63194.9 33341.4
-37402.1 -78884.7
77686.6 -79553.3
-4044.57 -45935.9
-60055.2 -42452.7
31528.6 89400.2
-55616.5 1382.93
55692.5 87269.8
-71576.3 -41079.7
12201.5 28904
74682.8 -53430.4
34799.2 25871.9
66510.9 62599.4
54660.2 -94309.5
18081.4 23516.4
52752.8 54886.5
-43142.1 -84649.3
76001.7 -65455.6
-64202.7 -28042.8
-11391.5 -24257.9
29504.4 -79862.9
-34857.7 73888
21520.1 -79165.2
61157.8 49943.8
-20244.9 -26640.7
-21152.2 -45562.1
19928.9 -86353
80309.7 -13560.2
76246.3 34969.9
-7869.67 -5672.24
-41513.7 -55116.9
-50785.8 15344.2
-39766.2 -74784
49888.6 -3968.9
-2826.85 -61502.8
71773.2 -73322.4
-41365.7 -63084.5
-99434.4 80154.4
-42249.7 61723.4
30098.1 37505.4
-64917.4 -91054.1
91943.3 55011.5
-77407.1 72253
-58548.7 98839.2
7222.91 33581.7
-6833.05 65709.3
78464.8 42381.2
-18946.5 -61301.5
67597.2 -69057.9
34729.6 -35229.7
-30560.7 6502.83
-8552.07 28073.6
43418.3 -7986.51
8227.92 -98831.4
-46263.2 -61673.9
38674.1 -11180.5
-52728 30617.3
-56169 -30135.2
2870.34 -14717.7
-31296 -89906.7
-81136 61871
75802.5 97328.7
4252.16 -43144
-63972.7 -28150.7
-12201.9 70756.9
36619.7 57237.3
-22740.3 -71932.4
-14689.1 -79322
20081.1 93538.8
-78153.3 73817.9
-68135.1 60520.7
-37362.6 -20863.2
-8861.92 6468.38
49001.7 94008.4
91750.7 -82294.3
-95898.3 -89385.3
79576.6 79904.2
-92056.6 -16171.2
-63239.8 -56029.3
55678.1 24558.3
-85272.4 -7702.22
-18204.4 -8012.7
20365.4 67106.5
12665.3 -59553.5
60645.3 34512
-85735.6 92510.2
-4967.23 -23098.2
-28352.9 86170.9
83370.2 -79351.3
80179.3 75120.9
-61645.6 84280.9
85735.5 -82069
64185.1 93678.9
1759.78 -99054.7
-62350.4 -42562.1
25503.6 -47622.8
49735.7 -92700.8
44364.5 -29898.9
74405.7 -42970.2
10547.5 35051
91541.9 24811.9
27561.2 -13425.4
-98286.3 99208.3
-27254.5 85083.9
-80143 -47075.2
60204.8 -41788.6
-62794.3 45940.3
-23857.6 -98609.2
39619.3 77902.2
-97663.9 77268.9
-64659.9 27839.7
-70353.9 85075.7
35138.9 74010.5
-44823.2 9544.57
-68959.6 65724.3
-55404.4 -77417.8
-9463.77 72156.8
9156.89 -7750.05
71365.2 81902.4
-22666.1 91222.2
-65172.9 -62461.4
-50566.4 -27967.1
83478.9 25576
-26576.3 23098.2
3478.15 -24240.2
367.067 38818.2
-96400.5 30013.1
23894 38738.4
4023.65 79070.7
-51717 35064
44795.1 -7121.42
57646.3 -64668.7
-34964.6 -33196.8
27581.2 -63599.4
-51294.5 -95084.9
-72377.3 -16467.3
-57546.3 -22943.7
55565.5 -74067.3
-97367.7 -71010.8
49030.9 6110.44
4749.07 -50602.1
-55071.3 8348.6
79411.1 68822.6
-52913 -16565.3
47893.3 -4630
-81501.3 -7311.6
88248.6 76145
28019.7 -46716
-57051.8 -44399.1
-10315.4 -8346.29
-39484 17307.3
75186.4 2969.76
94363.6 30751.9
28902.4 96995.9
59741.2 -22066.7
3106.37 -35509.8
27331.3 48035
72838.9 6742.33
16857.6 -80074.1
90177.1 -35249
15295.9 -91324.2
57439.4 3544.45
84820.8 -14540.9
56828.4 -72231
41060 -53487
19422.7 -98424
63820.3 -5390.9
4545.78 58184
-74639 -66551.8
55179.9 85102.2
11381.5 -41713.7
-50407.5 -61287.2
-93678.7 -77568.7
45455.1 23178.9
-57642.8 35632.2
87929.9 57653.1
44308 45369.2
-38802.5 29128.8
-69171.7 -81974.1
56897.8 71888.3
-35461 -23679.5
73464.3 -71640.7
70929.6 -21989.9
86543.2 96290.7
11458.3 41723.1
81392.9 -77160.2
-99990.6 -69014.7
-38447.4 -93669.4
-46583.4 -92992.2
29509.5 -4226.18
42640 17439.4
-46573.1 -13052
-37191.4 14624.4
-83923.2 -6363.08
32650.3 72974.6
-34474.8 97189.3
-50704.9 -61010.5
-74451.5 -79775.3
16999.6 -87908.2
-83484.6 -71542.1
53814.9 97908.3
-48702.3 53824.3
-71106.4 12850.3
60154.9 -17689.8
19858.1 -10335.5
78084.1 -37501.9
-92896.1 -68489.1
49446.1 -30087.5
46135.3 65522.9
63549.4 -21214.4
38497.5 -70925.4
-24025.1 87792.7
-31935.9 1523.43
-91982.6 85063.7
13615.2 -75467.2
-86478.4 -32569.9
-77558.9 -35180.7
-78745.6 -48665.3
77669.6 81409.3
33644.9 -2472.24
-28926.3 11729
60025.9 -21822.4
43239.9 9471.99
48090.1 -10624.8
-25005.1 11639.5
68160.8 -86507.5
40714.1 -55864.3
-98714.9 -91221.7
45659.1 -90697.5
93842 -40725.7
-66164.7 -92636.5
26704.4 -43723.6
-27817.2 47958.8
7611.07 -50147.6
29368.1 -58744
47380.2 -99558.2
52984.9 7406.04
-21380.5 -3775.17
-83122 -73290.4
85600 -8127.05
38349.1 53760.9
5365.4 -20936.8
97896.6 6650.52
-12158.5 43555.7
15953.1 -18316.6
-97170 49788.4
-10953.1 29534.5
-93935.2 61229.7
-22506.7 13675.9
-88917.9 -93138.6
54931.9 58462.3
-92696.8 7916.79
-34131.7 -14077.3
-95858.4 -17253.6
12632.2 89741.6
74619.3 -49018.7
43502.5 -20015.3
30044.5 41399.1
86635.2 -82114.1
-15045.3 2588.28
-430.643 -12215.2
-47623.3 88616.3
-82680.8 -41558.5
49846 -5187.49
72117.4 60928.1
1673.88 27049.2
19390.4 8977.09
-65034 85258.8
94899.7 -60892.4
-31994.9 7531.96
-71150.7 -57375.6
58513.2 72351.7
22609.2 -11442.3
13750.8 9244.38
6443.67 98705.5
-88167.3 -93987
-13509.7 -35790.7
94629.3 3809.56
22650.8 44475.3
98622.1 -5231.82
5403.46 295.953
-78182.6 -75206.1
-90727 -43216.6
-89947.3 -95827.2
-4108.99 -21942.2
11704.7 24740.3
20682.2 -29782
-2907.99 -56708.6
58775.7 -89157.2
52535.8 -34780.6
-90451.6 64368.4
-28767.6 -3961.33
-71422.2 -34138.3
99848.2 51228.6
-89663 98470.3
-54003.2 15740.5
-1233.73 -32185.8
40534.4 8039.3
24597.6 50587
12212.1 -79511.4
-71355.2 -76083.2
45228.8 49327
-5865.19 -57679.1
92618.4 -47089.5
-46836.3 45154.2
18129.9 -37288
9522.59 89362.3
58750.7 38100.3
-44776 58598.9
-10671.1 -34439
57069.2 35325.7
81301.5 -44164.5
-96860.2 21835.9
63874.8 27737.4
-27577.1 -23913.1
48226 1067.76
3.71966 -6545.17
-49605.2 94138.5
35775.7 -56986.8
-52951 88939.4
88167.4 65178.9
-48348.6 -2310.01
54541.2 -89597.9
-64209.7 -90234.8
69001 25119.3
-24673.8 26070.2
-39555 -43372.3
81905.7 -36415.2
78463.6 45780.5
91322.2 -49113.5
-78132.6 39548.2
51954.3 21871.2
-66997 -97650.9
16009.7 68778.7
-54637.7 63058.7
57718.1 -66470.3
28237.6 -90630.5
31219.7 -17221.2
-80228.5 67010
-7456.02 88772.5
-7870.7 67870.1
14842.7 52574.3
-75502.2 -3251.53
-83840.9 -97038.6
-57471 -92518.7
-46152.1 -35603.6
47029.5 -94197.9
86267.6 80032.5
-91848.8 2277.27
48811.2 -46486.5
-34664 6529.32
-12956.8 93573.6
15898.8 -81737.2
-23647.6 35670.3
85272.9 68896.4
24442.8 -22597.8
36766.6 -60714.5
-70023.6 61264.4
36034 -53864.5
64225.8 78563
-46383.3 -81926.4
-57040.5 -99353.8
-76124.2 -70772.9
80678.7 -67973.1
31504.3 29489.9
-14459.6 96840.3
-63980.7 72583.6
90413.9 51918
90846.4 -33233.6
-12411.7 76119.3
-64337.2 -87968.9
-46478.5 72429.3
-48683.3 -16502.1
33693.7 87350.7
29633.3 -2080.53
65913.7 83250.1
15993.1 -91126.8
83896.3 39868.8
-61899.7 64575
71895.8 69604.6
-5935.04 -42563.8
66445 30084.2
-69980.2 56858.9
-17997.7 -79133.8
-76374.7 69590.6
96985.5 -40711.9
81621.7 -49493.1
-68282.6 -67061.6
34004.8 65411.1
-79710.9 -36361.8
-36669.4 86202.8
-53111.7 79323.7
95076.1 -69215.4
19192.5 -66823.6
95359.6 -8911.68
-97219 -10575.5
48524.5 69225.9
-80491.3 78544.3
26084.9 1511
99410.5 49710.1
-28898.4 96396
-91001.8 -47276.7
-53097.1 -59284.4
-14338.3 80907.7
-93873.3 5950.81
-55454.1 -30542.7
-7846.35 -8565.88
-51219 -12770.3
22218.7 67973.5
20406.1 17578.2
-40938.1 23187.1
-92997.2 -92413.6
-7587 -73488.5
86130.7 -81502.1
28022.5 85541.2
68208 99124.1
81937.1 77206.2
-48152.6 -71160
-82078.2 37509.1
-90252.3 -75951.5
-56540.1 -45706.4
-6494.14 35613.6
45727.7 42286.9
-77156.7 -32053.6
10260.4 43249.4
85524.6 69322.3
-33563.6 92527.4
76908.7 58849.4
-80961.1 63039.4
77347.3 47061.4
48580.5 45555.3
46185.5 30517.6
22761.4 98032.9
59357.6 40683.2
35542 69105.3
64731.8 79001.9
-76601.1 -41762.4
14615.5 69126.6
-99475.5 37458.8
-62927 10784.9
-19291.9 -77402.4
-19892.8 47144.5
-84875 -42984.1
5993.94 -65836.1
-79944.7 -16658.8
81225.3 68635.8
-71103.5 27410.8
-846.565 51657.9
25443.7 -41488.9
-7658.84 -39014.3
-72383.6 -42927.1
-60012.4 -48984.7
15310.6 54603.1
-79858.1 15835.1
-7938.12 -42785.1
-73380 72770
-20187.5 6727.27
19914.5 -5062.57
63743.2 -74091.5
29101.3 83798.5
9249.69 10326.6
52434.3 38146.1
-62262.6 -48412.3
-10195.9 63181.1
10098.8 82145.2
-75833.2 37715.2
-60781.8 -35845.6
88730.5 54528.8
-81242.5 -91127.6
-29636.1 10819.4
-33912.8 -3016.11
-16410.6 45899.7
-96288.8 -96496
-59162.9 67454.4
-70587.6 69938.4
51252.8 38662.1
-19735 3687.11
-23191.7 18002.4
55274.8 66612.3
-18816.5 -34626.4
48757.5 5350.24
-96911.2 87975.7
69504.7 91819.2
42504.5 88262.2
-99308.4 -87131.7
-918.401 -33221.1
9852.21 82671
-87321.4 13563.4
86175 -46484.3
-18982.3 -84412.6
-76545.9 -67729.4
54249.5 3719.14
35957.7 -68942.2
-78278.5 -8767.5
97670.1 2904.97
56606.1 46427.7
-91744.8 59694.9
34403.4 77759.9
51514.1 -23092.2
66022 52205.7
-10223.8 -34896.4
-81015.4 99628.4
-52225.3 -68336.8
13191.7 -66050.4
-14821.2 94209.5
-50462.9 8632.97
-73520 -96213.4
-87647.9 62437.7
-65155.6 -65926.4
-46329.8 -67485.5
36978.6 -89723.7
78942.2 45233.8
69971.2 13345.6
22993.7 21485.3
90253.4 -10984.3
-26309 -19970.4
54119.4 -7324.37
-20342.1 -98106
24338.8 92849.7
-64156.3 -90482.4
87059.2 -14619.3
18150.6 -86460.8
-10832.7 30502.7
75976.9 24011.7
64576.4 -70352.9
56526.2 1554.95
-60076.5 35468.3
-53211.2 -90105.4
-51186.1 69782.4
31379.9 -60932.7
-41201.8 -94929
19096.9 -87082.5
-2253.38 98754.8
-85188.5 -77914.6
91604.5 -49344.8
-68397 78663.6
36035.9 49753.7
92202.8 -74796.8
-19743.6 68179.7
49214.9 -55167.3
97826.9 5741.08
46387.7 -62249.7
-58790.6 93176.5
-52355 -9976.68
62958.9 79024.9
29090.6 -78243
84095.9 -51812.5
-65325.4 -18157.5
-53057.8 -50513.9
3927.93 -61453.3
141.311 35531
-82789.7 -63822.8
-14715.4 -90586.8
-38619.5 65541
77592.9 -89404.6
-89626.2 75419.8
16336.4 56761.5
-86829.9 57545.9
49937.9 -39184.9
-52430.8 12896.8
-60160 76659.8
34653.9 -76064.1
-75152.7 69328.4
5778.42 -28210.5
-81185.5 -90293.7
10336.2 18955.8
45237.3 27546.5
55133.1 -69478
36959.7 -83486.5
96063 14552.6
-72891.1 -93563.2
-10027.6 43445.3
63198.3 3142.5
991.204 13136.2
63957.6 48560.4
-73967 -96202.4
25220.2 60686.9
-72266.5 50067.4
30015.3 33511.9
-78143.1 48829.9
43218.2 32193.1
-32214.3 -11544.4
-40260.3 -77081.2
18977.5 96699.4
-60567.7 15040.6
11252 -33458.8
21477.3 -98775.6
-90013.4 -15324.4
4366.89 10977.8
97811.8 -31675.5
-40461.8 -76155.2
-27877.9 84758.3
84531.7 -144.476
34825.8 14547
-66632.6 56682.7
-36623.1 76585.7
-11124.2 31162.6
-34958.8 48615.5
54081.3 84018.8
45314.9 93513.7
-940.69 -43433.1
-39945.1 -79463.4
-42208.7 -29958.5
5212.24 62158.2
81019.3 3024.01
-69517.3 -59442.5
26868.8 2604.73
-74684.2 11400.5
-97539.7 60141.6
-74052.5 -64172.3
16824.2 -10675.7
-87586.7 -94299.9
-79513.1 -22545.5
54315.6 74568.2
-38526.7 -369.48
68081.9 60532.6
56197.4 -71863.2
81069.2 -86011.2
-1821.7 -13718.5
76147 -20802.4
89305.5 -93370.4
19755 16174.3
9234.36 45070.8
-72425.2 11694.6
5212.39 -46477.7
47522.3 -77963.4
42846.6 59935.6
-72263.3 63333.5
-62609.9 82052.3
37901.7 -1136.57
-18317.2 5983.6
-40604 -62119.7
34120.4 -59534.7
-48131 -67701.3
26746.8 -71984
11496.3 16052.3
-65354.4 -68748.7
-67773.4 43880
76322.2 -40198.6
-44425.4 -18465.4
13323.6 -96903.1
3571.19 -43829.8
63032.5 31307.9
-80496.3 -99577.4
13360.2 57405.4
-713.963 95043
-36611 58682.1
-67076.7 97509.4
99147.3 -15207.7
-70191.9 25894.1
12808.3 41304.4
-58053.6 47453.9
72555.7 -25827.1
-8666.07 48877.9
33974.3 46908.5
-69587.5 -52702.1
50005.4 33983.7
3468.12 13037.9
-34708.4 22971.8
13460.5 78651.8
-19622.8 -87253.5
73694.8 43766.2
71428.6 -93381.9
41275.6 70575.9
-8589.52 71083.8
-3529.94 -95781.2
12388.2 38416.4
51672.8 -15056.1
-87410.6 -56993.3
-66178.2 46563.7
89915.2 -35765.7
93861.6 39920.6
98218 -2670.33
-47041.5 -36490.5
-79698.5 66419
-57838.7 678.713
79165.5 -84143.9
-55555.1 50594.1
-77525.8 85720.6
21170.1 13884.7
56804.4 -82359.9
18103.5 -30807.5
56056.6 -30223.7
54136.5 68645.9
12783 87958.3
15209.6 2698.17
-47807.4 9071.14
-57381.2 -49589.5
-93599.2 -4422.69
13920.1 -73297.7
-38003.7 56081.4
27381 -58838.2
71937.5 71826
91756 94411.7
57546.6 12926.1
8296.43 14350.9
30566.2 -73600
83543.4 -13377.2
-3823.77 37679.9
-44731.3 -91040.8
25638.2 70478.3
11657.4 77830.8
-20450.6 54276.2
-71758.7 -14049.7
-50146.5 42161.4
12652.6 11849.8
-1757.25 -59966.4
53011.6 -29819.8
-88140.5 44767.6
-35408.1 69406.1
-42306.3 72888.4
-16243 88259.9
99288.3 -32699.5
-25117.4 -4535.45
-95019.6 30151.3
4423.73 30618.5
629.619 -83918.9
8449.31 80179.1
70357.3 36690.6
-33870.7 -79789.3
-21148 78781.9
32060.5 77094.8
-81184.5 -14927.9
-52725 -69325
-70160.3 11866.9
-99918.9 -12466.6
-15244.7 -16161.9
-24206.8 -15956.4
51138.6 50675.8
79508.2 56119
-19172.8 -16068.1
-13262.5 81456.8
13.0012 95186.8
61635.8 -29629.7
31877.4 -72234.9
-9419.03 -89270.5
-93453 -77358.5
87824.2 -74637.5
7713.58 -64900.8
-43962.5 37553.3
46966.2 -43881.4
-74913.4 -68278.5
39956.8 879.85
15765.1 -8904.65
-48444.3 -4726.74
-52785.7 32382.8
79205.2 33951.8
13839.6 -20781.8
29138.6 -24524.6
49588.4 -38984
3240.58 -59830.6
-28254.5 9787.6
-37189.1 -40430.3
35150.1 70524.4
-5331.06 91187.6
8077.73 -58364.9
-52693.8 33164.4
-26643.4 87263
-65955.8 89121.6
-21641.7 -14400.1
-15605.1 25572.6
-82017.3 -36399.9
-40475.6 31822.3
42818.2 88663
-92702.2 -7593.32
-50321 10538.4
32576.1 21424.5
-79674 95386.9
80994.2 55476
65911.4 -24336.9
46663.6 -26010.9
17298.2 93969.8
-92846.5 90654.8
81232.8 -58802.3
79776.4 -40408.9
26797.6 -35828.7
85163.7 44780.3
27771.4 -55311.9
-23397.3 -29410.3
-66648.9 -16099.6
62996.4 -16969.9
94438.8 -4427.57
-95545.4 -85235.2
-9040.63 85448.8
70240.8 -43129.2
-38888.1 16904.4
30859.9 78410.1
10874.3 38013.4
69064.9 -7892.92
79211.1 48841.4
51698.2 6008.69
-86987.3 36861.9
-49211 40784.1
81550 27391.7
-88626.2 -85098.9
-88707.8 74370.2
-2068.82 -94269
-30057.4 2385.75
-79504.3 60902
-12165.5 90736.5
-82227.3 48946.4
7640.94 48632.6
27356.6 -81484.8
-13354 -3578.51
10622.3 -34143
-54737.2 -37679.5
71865.7 -41724.5
99182.4 -77345.3
99059.7 80732.4
50046.5 -89566.5
95633.5 61338.6
84803.6 -6435.35
67069.6 -45253.8
95950.4 87565.3
-84351.8 -16215.1
78301.8 -66579.1
-67268.6 -14057.3
82053.5 60087.9
4457.93 -31300.6
-43490.6 -84919.8
34556.5 1772.25
-22599.3 6422.17
60047.8 -23416.9
29076.9 59107.5
-42684.5 -20876.6
69541 -47051.1
-59538 54344.6
46513.6 -92468.4
-90909.2 42464
95096.8 -75261
-73751.1 73398.6
-41840.1 -41019.8
-40658.7 -59786.6
-80931.8 63799.3
8912.78 -24422.4
78879.5 -56530.8
77349.8 -43719.8
49891.4 37397.6
32863.2 -21031.7
-3494.91 90178.7
58091.7 -33954
-56872.4 98553.7
-79609.4 89641.2
-93914.8 -70518.6
32105.1 -98817.9
-45779.6 58354
74580.7 12380.3
-82665.7 -66078
52593.7 -63597.6
97721.3 -38493.6
11980 76600.8
4975.68 -10670.2
-67119 -45132.9
-73272.6 65744.2
33835.4 23232.5
55922.9 -8072.91
89278.6 99050.5
-9519.23 -90330.8
88691.7 -3434
-60849.4 20796.9
-2251.93 -6628.92
-20849.1 -27671.3
-94248.6 -3514.83
6250.77 58345.1
32887.6 3972.07
-80148.5 -55132.4
-19427.2 24827.2
34197.5 13453.8
79694.3 60924.9
-20802 13529.7
